firmenId,firma,firmaQuelle
10,Kriner und Schmidt,"Krinner und Schmid, Krimer und Schmid, Khrimer und Schmid, Krinner und Schmid, Krienner und Schmid, Krünner und Schmid, Cruner und Schmid, Khrümer und Schmid, Krümer und Schmid"
9,Johann Nöstl sel. Witwe,Johann Nöstl sel. wittib
8,Hess und Tech,"Hesse und Tech, Hess und Tech, Heess und Tech"
7,Gmainer sel. Erben,hr. Gmainers seel. erben
6,Gindl und Hink,Gindl und Hinkh
5,Gebrüder Martinelli,"fratelli Martinelli, gebrüeder Martinelle, fratelli et Martinelli, frandelli Martinelli"
4,Fünfer und Pränkl,Fünffer und Pränkhl
3,Depra Ducrue & Co.,"Depra Duxrue et comp., Depro du Frie et comp."
2,Claudius Clerr sel. Erben,Claudi Clerr seel. erben
21,Föhr und Wanner,"Föhr und Wanner, Föhr und Wahner, Föhr und und Wanner, Führ und Wahner"
1,Anton Hölzl & Co.,Antoni Hölzl et compagnia
13,Primier Witwe und Kopp,Brimers wittib und Kopp
15,Kreidemann und Liebert,"Kreidenmann und Liebert, Kreideman und Liebert"
16,Heinrich Krochmann & Co.,"Hainrich Krochmann et comp., Krochmann et comp., Krochman et compag."
17,Matthias Kessler sel. Witwe,Matthias Kösslers seel. wittib
18,Coith und Korb,Coith und Korb
19,Berlin und Reichhard,Berlin und Weichhard
11,Orientalische Kompanie,"kay. privilegirt orientallische comp., oriental. comp."
123,Facius und Merl,"Facio et Merl, Facie et Merl, Facie Merl, Fascho Mere, Facio Mere, Foieck und Merle, Foiecha et Merl, Foieta Merl, Farela e Merla, Foin Merl"
20,Perinet und Falquet,"Perinet et Falquet, Berinet et Falquet, Berinet Falquet"
22,Philipp Gundian sel. Erben,"Phillipp Gundians seel. erben, Phillipp Gundians"
23,Ruffini & Co.,"Ruffini et compagnia, Luffini et comp., Roffini et compag."
24,Primier Witwe & Co.,"Primiers wittib et comp., Brimiers seel. wittib, Prümmers seel. wittib"
25,Rad und Hößlin,"Rad und Hößlin, Rad und Höslin, Rath und Höslin, Rad und Heslin, Rad unnd Hösling, Rad unnd Röslin, Prad unnd Höslin, Brad unnd Höslin"
26,Rauner und Münch,"Rauner und Minich, Rauner und Minih"
27,Rausch und Lang,Rausch und Lang
28,Stockinger und Eberhard,Stockinger und Eberhard
29,"Thorin, Arbaur & Co.",Thoin Arbaur et comp.
31,Cimarolli und Martinelli,"Cimeroli et Martinelli, Zimeroli et Martinelli, Zimeroli Martinelli"
32,Cimarolli und Zuana,Zimeroli et Zuanna
33,Bormastini und Butterna,"Bormastini und Wutterna, Bormastini und Wuderna, Pormastini et Watterna, Pormostini et Wutterna, Burmastini et Buterna, Burmastini et Nutterna"
34,Mayr und Miller,"Mayr und Miller, Mayr und Millner"
69,Paul Schedlberger sel. Witwe,"Paul Schedlbergers wittib, Paul Schedlbergers seel. wittib"
37,"Passy, Decret & Co.","Passy Decert et compag., Bassy Decert et comp., Bassy Decert et compag."
71,Johann Friedrich Werti sel. Witwe,Johann Friderich Werti sel. wittib
41,Bosquet und Abria,Bosquet et Abrie
42,Wernberger & Co.,"Wernberger et comp., Wernberger et compag."
43,Göbl und Riedl,"Göbl und Riedl, Gebl und Riedl"
44,Wenzl und Preissl,"Wenzl und Preissl, Wenzl Preissl, Wenceslaus Preinsl"
45,Jakob Koller sel. Witwe,Jacob Kollers seel. wittib
46,Rick und Peck,Rikh und Beck
47,Schlüter und Happach,"Schlitter und Habbach, Schlitterer und Happach, Schlütter und Happach, Habbach und Schlitter, Happach und Schlitter, Schlütter und Habbach, Häppach und Schlüter"
48,Gebrüder Palm,"gebrüeder Palm, Palm gebrüeder, gebrüeder v. Palm, gebrüder v. Pallm, gebrüeder v. Pallen, gebrüeder Pallen, kay. kupfer adminis. gebrüeder Palm, gebrider von Pallm"
49,Peter Eder sel. Witwe,Peter Eders seel. wittib
50,Wicky und Huber,Wikhi und Hueber
51,Philipp Nissolo & Co.,"Phillipp Nissolo et Comp., Phillipp Nisolo et Comp., Phillipp Nisolo et Compag., Pilippo Nicolo et Comp."
52,Seemann und Lechner,Seeman und Lechner
53,Kreidemann & Co.,Kreidenman et consort.
54,Georg Wöss & Co.,Georg Wöss et cons.
55,Matthias Dorfwirt & Co.," Matthias Dorffwürth et consort., Matthias Dorffwürth et consortes"
56,Heinrich Pracher & Co.,Heinrich Pracher et consortes
57,Gebrüder Gutermann,"die gebrüeder Gueterman, gebrüeder Gueterman, gebrieder Guetermann"
58,Miller und Vorget,"Miller und Vorget, Vorget und Miller, Millner und Vorget, Müller und Vorgeth, Müllner et Vorgeth, Müller und Värguet, Miller und Borquet"
59,Johann Hofmann sel. Erben,Johann Hofmann seel. erben
60,Miller und Wieland,"Miller und Wielland, Müller und Wiellandt, Millner und Wielland"
61,Schöberl und Preindl,"Schöberl und Preindl, Schöberl und Prendl, Schöberl und Prindl, Schöberl und Preundl, Schoberl und Breindl, Schebel und Preindl, Schöberl und Preidl, Schweberl und Preindl"
62,Wenzl & Co.,Wenzl et comp.
63,Gebrüder Buirette,"Gebrüeder Buirette, Gebrüeder Buiretti, Buirette Gebrüeder, Bierette Gebrüeder, Buiretto Gebrüeder"
64,Georg Fagerer sel. Erben,Georg Fagerer seel. erben
65,Johann Georg Winter sel. Erben,"Johann Georg Winters sel. erben, Johann Georg Wündters seel. erben"
66,Schmidhammer & Co.,Schmidhamer et cons.
67,Ferdinand Wührer & Co.,Ferdinand Wührer et comp.
68,Klinger und Hueth,Klinger und Hueth
72,Christoph Müller & Co.,Chrüstoph Müller et comp.
73,Paul Karl Rois sel. Witwe,"Paul Carl Royss seel. wittib, Paul Carl Roys seel. wittib"
74,Sebastian Pühringer sel. Erben,"Sebastian Pühringers seel. erben, Sebastian Pühringers erben"
75,Philipp Gundian sel. Witwe,"Phillipp Gundian seel. Wittib, Gundians seel. Wittib, H: Gundian see: Wittib"
76,Georg Christoph Sindt sel. Witwe,"Georg Chrüstoph Sündt seel. wittib, Georg Chrüstoph Sindt seel. wittib, Georg Christoph Sindt seel. wittib"
77,Melsheimer und Güll,"Melsheimer und Gillen, Melsheimer und Güllen, Melsheimber und Güll, Mellsheimer unnd Güllen"
78,Beham und Pfefferl,"Behamb und Pfefferls, Perhamb und Pfefferl, Behamb und Pfefferle, Pehmab und Pfefferler, Behambe und Pfeffner"
79,Lalle und Guerin,"Lattet et Guerin, Lalle et Gverin"
80,Johann Jaccoud und Ghezzi,"Jaccoud Ghezzi, Johann Jaccoud und Ghezzi, Johann Jaccoud Ghezzi, Johann Jacob Ghezzi, Johannes Jaccoud et Ghezzi, Joh. Jourd. und Phazzi, Johann Quocaud et Ghezzi"
81,Georg Dempf sel. Erben,Georg Dempff seel. erben
82,Johann Franz Cleas sel. Erben,"Johann Franz Cleas sel. erben, Joh. Franz Cleos seel. erbn"
83,Georg Neuner & Co.,"Georg Neüner et cons., Georg Neüner et consortes"
84,Dallensteiner & Co.,"Dolnstainer et comp., Dolnstainer et cons."
192,Peumbl und Herndl,Peuml und Herndl
86,Bozzi und Tribaumer,"Pozzi und Tripamer, Pozzi und Tribaumer, Pozzi und Tripaner, Pozzi und Tripaumer, Pozzio und Tripamer, Pazzi und Tripamer, Poti und Tripamer, Potti und Tripaumer, Bozzi und Tripamer"
87,Wernberger und Geiger,"Wernberber und Geiger, Bernberger unnd Geiger, Herrnberger und Geiger"
88,Johann Pöhr und Simon Pöhr,"Hannß und Simon Böhr, Johann und Simon Puehr, Hans et Simon Puehr"
89,Andre Brentano & Co.,"Andrae Praentano et Comp., Andre Brenton et Comp., Andre Benton et Comp."
90,Zäßlein und Forsch,"Zössling und Forsch, Zössling und Forst, Zeischin und Forsch, Zeislin und Forsch, Zössling und Frosch, Zössling Först, Väslin und Forsch, Zösslin und Forsch"
91,Böller und Wollsdorf,Böller und Wollstorf
94,Dohm und Ely,"Dom und Ely, Dohm Ely, Dohnn und Ely, Dohm et Ely, Dohn und Ely, Dohon Ely, Don und Elly, Donn und Ely, Dohrn und Elei"
95,Farovino & Co.,"Farovino et compag., Farovine et comp., Ferovino et comp., Favorino et compag."
96,Thorn d.J. & Co.,"Thorn der jüngere et comp., Thorn der jüngere et compag."
97,Felbinger und Mezger,"Delbinger und Mezger, Belbinger und Wuzger, Felbinger [Jelbinger?] und Mezger"
1587,Lazarus Heimerl und Prunner,Lazaro Heimerl und Pruner
99,Matthias Bierling & Co.,Matthias Pielling et consortes
100,Georg Finale & Co.,"Georg Final et comp., Georg Finale et comp."
102,Christoph Haas sel. Sohn,Chrüstoph Haaß seel. sohn
103,Piecchenini und Rotta,"Becheniny et Rotta, Pichenini et Roda"
104,Paul Leeb sel. Erben,Paul Leeb seel. erben
105,Hochmayr und Lang,Hochmayr und Lang
106,Rachel und Riedl,"Rachel und Riedl, Rochael und Riedl, Rachl und Riedl"
107,Kaspar Weikerl & Co.,"Caspar Weikerl et cons., Caspar Welkherle et consort."
108,Weigl & Co.,Weigl et comp.
110,Weyd und Knaus,"Wayd und Knauss, Weyd und Knaus, Weydt und Graus, Weydt und Knaus"
111,Franz Scheffermayr & Co.,Franz Scheffermayr et consortes
112,Salliet und Orset,"Sallirt et Orsset, Sallirt und Orsset"
113,Phillibert und de L'Espine,"Phillibert et Lespine, Philibert et Lespine, Phillipert Delespine, Philibert Deck Espinae"
115,Manfre Zuana sel. Erben,Monfre Zuanna seel. erben
116,Schwanesini und Gritti,"Schwonessini et Gritti, Schwanessini et Gritti, Schwanesin und Gritti, Bonessini et Gritti, Sbonessini et Gritti, Sponessini et Gritti"
117,Strempfl und Ritschl,"Stempfl und Ritschl, Strempfl und Ritschl, Strempfl und Ritschell"
118,Gebrüder Bernini,"gebrüeder Bernini, gebrüeder de Bernini"
119,Stippl & Co.,"Stüppl und compagnie; Stippl et compag.; Stepl et compagnie, Stippl et compagnia"
120,Mitschler und Häder,"Mitschler und Häder, Mütschler und Häder, Mutschler und Hayder, Mutschler und Häderer, Wütschler und Häder"
121,Tobias Rezer sel. Witwe,Tobias Rezer seel. wittib
122,Claudius Rou sel. Witwe,"Claudi Rou seel. wittib, Claudi Rau seel. wittib"
124,Riemer und Miller,"Riemer und Miller, Riemer und Müller, Rienner und Millner, Wienner und Millner"
125,Andre Wispointner & Co.,Anree Wispainter et cons.
126,Peter Ducrue & Co.,"Peter Duxue et comp., Peter Duxrue et comp., Peter Durüe et comp., Peter du Cruet et comp."
128,Heinrich Dressel & Co.,Hainrich Dreßl et comp.
130,Butterna und Maurer,"Wutternä und Maurer, Wuterna und Maurer, Sutterna und Maurer"
131,Gebrüder Greiff,"gebrüeder Greiff, gebrieder Greiff, freres Greiff"
132,Duboin & Co.,Duboin et comp.
135,Koller sel. Erben,"hr. Kollers sel. erben, hr. Kollerer sel. erben, Kollerische erben"
136,Göschl und Gläser,Göschl und Gläser
137,Sebastian Baumann sel. Erben,"Sebastian Paumann seel. erben, Sebastian Paumans seel. erben"
138,Wolf Jammerpaur sel. Erben,"Wolf Jammerpaur sel. erben, Wolf Jamerpaur sel. erben"
139,Bernhard Martinelli und Gebrüder ,"Bernhard gebrüeder Martinelli, Bernhart fradelli Martinelli"
528,Dallensteiner und Hinkl,Dollnstainer und Hünkl
141,Lobenhofer und Walter,"Lobmhofer und Walther, Lobenhofer und Walther, Lobenhofer et Walder, Lanhofer und Walther"
143,Wandaller und Gundian,Wandaller und Gundian
145,Preu und Scheidlin,"Preu und Scheidlein, Preu und Schindlin"
146,Franz Jakob Fehrner sel. Erben,Franz Jacob Fehrner seel. erben
147,Paul Leeb sel. Witwe,Paul Leeb seel. wittib
148,Bartholomäus Prunner sel. Witwe,Bartlme Pruner seel. wittib
149,Gebrüder Rappatsch,"Röppätsch gebrüeder, Räppätsch gebrüeder, gebrüeder Rappatsch"
150,Gabriel Paumgartner sel. Erben,"Gabriel Paumgartner seel. erben, Gabriel Paumgarthners seel. erben"
151,Franz Glas und Schmid,Franz Glas und Schmid
152,Stephan Paul sel. Witwe,Stephan Pauls seel. wittib
153,Jakob Koller sel. Erben,"Jacob Kholler seel. erben, Jacob Koller seel. erben, Jacob Kollners seel. erben"
154,Leopold Lechner sel. Witwe,Leopold Lechners seel. wittib
155,Schlesinger und Gebrüder,Schlesinger und gebrüeder
156,Johann Gischet sel. Erben,Johann Gischet sel. erben
157,Schmid und Scheidlin,Schmid und Scheidlin
158,Hoppe und Aicher,"Hoppe und Aicher, Hoppan und Aicher, Hopp und Aucher, Heppe und Aicher, Höpp und Aicher, Hoppe und Eicher"
159,Trevano und Consoni,"Trevano et Consoni, Tevanno et Consoni, Trevanno et Consoni"
191,Segalla und Bigognini,"Segolla et Bigogori, Segola et Bigonini, Segola und Bigongini, Segalla et Bigognini, Seballa und Bigognini, Segalla et Bingingini"
161,Stephan Herzog und Anna Maria Pergerin,Stephan Hörzog und Anna Maria Pergerin
162,Christoph Pichler und Matthias Kögl,Chrüstoph Pichler und Matthias Kögl
163,Fingerlin und Brandhofer,"Fingerlin und Brandhofer, Fingerlin und Brangottur, Fingerlin und Prandhoffer"
165,Bartholomäus Schneider & Co.,Bartlme Schneider et cons.
166,Fuchs und Leypold,"Fuchs und Leypold, Fuchs und Leybold, Fuchs und Leyboldt"
167,Johann Friedrich Schreyer sel. Erben,Johann Friderich Schreyers seel. erben
168,Grienerwald und Becker,Grienerwald und Becker
169,Munier und Ruffini,"Munier et Ruffini, Meuniert et Ruffini"
170,Christoph Löschenkohl sel. Erben,Christoph Löschenkohls seel. erben
171,Isenflamm und Küner,"Isenflam und Küner, Isenflamb und Küner"
173,Wirt zu Aichberg & Co.,"würth zu Aichberg et cons., wührt zu Aichberg et comp."
174,Johann Aichinger sel. Witwe,Johann Aichingers wittib
175,Johann Aichinger sel. Erben,Johann Aichingers seel. erben
176,Merz und Mayr,"Merz und Mayr, Meez und Mayr"
457,Franz Cleas sel. Erben,Franz Cleas seel. erben
179,Passy und Decret,"Passy Decert, Passy Deceret, Pasoy Decert, Passa Decert, Pasey Decert, Passius Decret"
180,Gregor Peck & Co.,Gregori Pekh et comp.
189,Magoni & Co.,Magoni et comp.
182,Sebastian Kriegner & Co.,"Sebastian Krienger v. Rohrbach et compag., Sebastian Kriegner zu Rohrbach et cons., Seb. Krüegner et cons. v. Rohrbach"
183,Memler und Pfeiffer,Memler und Pfeiffer
185,Sebastian Vetter sel. Erben,Sebastian Vetters seel. erben
186,Johann Andre Endter sel. Erben,"Johann Andree Endters sel. erben, Johann Andrae Endter sel. erben"
187,Leopold Lämpl und Primus Plazer,Leopold Lämpl und Brimus Plazer
188,Breunlein und Reinhard,Preunlein und Reinhard
190,Bartholomäi & Sohn,"Bortholomäi et sohn, Bartholomaei et sohn, Bartlme sohn"
193,Lorenz Le Comte und Peter Le Comte,"Lorenz und Peter Le Comte, Lorenz und Peter Lee Comte"
194,Leithner und Berghofer,"Leithner und Perckofer, Leitner und Perckhofer, Leithner und Berghofer, Leuthner und Berkofer"
195,Mandlmayr und Klöckl,"Mandlmayr und Klökhl, Modlmayr und Klökhl, Moldlmayr und Klökhl, Mottermayr und Glökhl, Mottelmayr und Klögl"
196,Schöberl und Weiss,"Schöber und Weiss, Schöberl und Weiss"
197,Franz Jakob Fehrner sel. Witwe,"Franz Jacob Fehrners seel. wittib, Franz Jacob Ferner seel. wittib"
198,Valle und Frandegsho,Valle et Frandegsho
200,Eisenreich und Conradi,"Eysenreich und Conradi, Eysenreich und Conrati, Eysenreich und Consaldi"
201,Roux sel. Witwe,Roux seel. wittib
202,Gebrüder Bolza,gebrüeder Bolza
356,Lämer und Fünfer,Lämer und Fünffer
486,Guter und Wegleithner,Gueter und Wegleithner
205,Rappatsch und Sturm,"Räppätsch und Stiermb, Räppätsch und Stuermb, Räppitsch unnd Stiermb, Radtpätsch unnd Stürmb, Räpätsch und Stiermb, Räppätsch und Strumb, Rappatsch und Stierumb, Räppätsch und Strümp "
206,Rappe und Aicher,Rappe und Aicher
207,Leopold Schedlberger sel. Witwe,Leopold Schedlbergers seel. wittib
208,Peisser und Rigotti,Peisser und Rigoti
209,Bartholomäus Plaz sel. Erben,"Bartlme Plaz seel. erbn, Bartlme Plazens seel. erbn, Bartlme Blaz see. erben"
210,Christoph Nagl & Co.,Chrüstoph Nagl et consortes
211,Paul Schedlberger sel. Erben,"Paul Schedlbergers seel. erben, Schedlbergers erben"
212,Mayr und Mayr,Mayr und Mayr
213,Johann Laimbrucher sel. Witwe,"Joh. Laimpruchers seel. wittib., Joh. Laimpruchers wittib"
214,Coith & Co.,Coith et compagnie
216,Johann Andre sel. Erben,Johann Anders sel. erben
218,Wilhelm und Selhammer,Wilhalbm und Selhamer
220,Butterna und Heimerl,"Butterna et Heimerl, Butterna und Heimekl, Butterna und Heymerl"
221,Arbaur & Co.,Arbaur et compagn.
641,Augustin Weiker sel. Witwe,Augustin Weikhers sel. wittib
223,Christoph Bergamin sel. Witwe,"Chrüstoph Bergamin seel. wittib, Christoph Bergman seel. wittib, Christoph Bergemin sel. wittib"
224,Christoph Fink sel. Witwe,Chrüstoph Finck seel. wittib
225,Hölzl & Co.,"hr. Hölzl et compag., Hölzl et compag."
226,Joseph Koller sel. Erben,Joseph Kollers seel. erben
227,Gschaider und Wischer,Gscheider und Wischer
228,Liebmann und Breither,Liebman et Breither
229,Christoph Redlich & Co.,Christoph Rödlich et cons.
230,Wagner und Payling,"Wagner und Payling, Wagner und Beyling, Wangner und Bayling, Wagner und Peyling, Wanger und Peyling, Wagner und Peylling, Wagner und Peyling, Wagner und Pagling"
231,Cimarolli und Moretti,Zimeroli Moreti
232,Sebastian Grübl & Sohn,"Sebastian Grüebl et sohn, Sebastian Grinbler et cons., Sebastian Grüebler et sohnn, Sebastian Griebler et sohn"
233,Riedl und Huth,"Riedl und Hueth, Rüedl und Hueth"
234,Leuthner und Lemberg,Leutner und Lemberg
235,Guetrater und Schalkhammer,"Guetrather und Schalkhamer, Guttrather et Schalckhamer"
236,Rausch sel. Witwe,"Rausch seel. wittib, Sausch seel. wittib"
237,Elias Damayr sel. Erben,Eliaß Damayr seel. erben
238,Wandaller & Co.,"Wandaller et compagnia, Wandaller et compag."
239,Georg Christoph Sindt sel. Erben,"Georg Chrüstoph Sind seel. erben, Georg Christoph Sinndt seel. erben"
240,Blommart & Co.,Blumart et compag.
241,Berlin und Ebermayr,Berlin und Ebermayr
242,Reber & Co.,Rebern et comp.
243,Karl Gerosa sel. Erben,"Carl Gerosa seel. erben, Carl Gerova seel. erben, Carl Berosa seel. erben"
387,Kaspar Koller sel. Erben,Caspar Koller seel. erben
246,Fognio und Mosero,Fognio et Mosero
247,Erhard Schuster sel. Erben,Ehrhard Schuesters seel. erben
248,Johann Fabichler sel. Erben,"Johann Fachpichler sel. Erben, Johann Fapichler sel. Erben"
249,Gabriel Egger sel. Witwe,Gabriel Eggers seel. wittib
250,Christoph Bergamin sel. Erben,Chrüstoph Bergamin seel. erben
251,Christoph Sindt sel. Witwe,Chrüstoph Sindt seel. wittib
252,Martin Strobl & Co.,Martin Strobl et comp.
253,Duovoisin und Silvester,Duovisin et Silvester
254,Zacharias Leeb sel. Erben,Zacharias Leeb seel. erben
255,Kaspar Würth sel. Erben,"Caspar Würth seel. erben, Caspar Würths seel. erben, Caspar Wiehrts sel. erbn"
256,Merz und Dengler,"Merz und Dengler, Merz und Degerle, Merz und Degrlin"
257,Finale Ducrue & Co.,Finale Duxrue et comp.
258,Adam Vogl und David Ostermayr,"Adam Vogl und David Ostermayr, Adam Vogl und Ostermayr"
259,Plettner und Schmidhammer,Pletner und Schmidhamer
260,Niklas Stock sel. Erben,Niclaß Stock seel. erben
261,Joseph Govillet & Co.,Joseph Govillet et comp.
262,Johann Gischet sel. Witwe,Johann Gischet sel. wittib
263,Joseph Bernini und Gebrüder,"Joseph und Gebrüeder v. Bernini, Joseph Gebrieder Bernini, Joseph und Gebrüeder Bernini, Joseph Gebrüeder Bernin, Joseph Gebrüeder Pernini, Joseph et Gebrüeder de Bernini, Joseph Gebrieder Bernin, Joseph Gebrüeder Bernini"
264,Paul Kienberger sel. Witwe,"Paul Kinberger seel. wittib, Paul Kienberger seel. wittib"
265,Balthasar Mörz & Co.,Balthaßar Mörz et cons.
266,Lammer und Klezl,"Lamer und Klezl, Lamer und Klazl, Hamer [?] und Klezl, Lamer und Kläzl"
268,Johann Paul Manz sel. Erben,"Johann Paul Manz seel. erben, Johann Paul Mänz seel. erben"
1583,Pilgram & Co.,Pilgramb et comp.
271,Lorenz Vollmayr sel. Erben,Lorenz Vollmayr seel. erben
272,Lochner und Paur,"Lachner und Paur, Locher und Paur, Lochner und Paur"
273,Tobias Kern & Co.,Tobias Kern et consortes
275,Joseph Scheuring & Co.,Joseph Scheuring et consortes
277,Beham und Gerdia,Pehamb und Gerdia
278,Brandegski und Pöttenberger,"Brandegski und Pöltenberger, Prandegski und Pettenberger, Brandegski und Böttenberger, Brandesky und Pletenberg"
280,Johann Tagger sel. Witwe,"Johann Tagger seel. wittib, Johann Agger seel. wittib"
282,Rausch sel. Erben,Rausch seel. erben
283,Gebrüder Greiff & Co.,gebrüeder Greiff et comp.
284,Georg Körger sel. Witwe,"Georg Körgers seel. wittib, Georg Kürgers seel. wittib"
287,Chini und Jäger,"Cechini et Jäger, Zichini und Jäger, Chini und Jäger"
288,Cestenze & Co.,Cestenze et comp.
290,Johann Tagger sel. Erben,"Johann Tagger seel. erben, Johann Tager seel. erben"
291,Ferdinand Vorauer und Heinrich Zöchpaur,Ferd. Vorauer und Hainrich Zöchbauer
292,Niklas Stadl sel. Erben,Niclaß Stadl seel. erben
293,Peter Conrad & Co.,Peter Conrad et comp.
294,Johann Friedrich Schmidhammer & Co.,"Johann Frider. Schmidhamer et cons., Johann Friderich Schmidhamer et cons."
295,Fecasati und Piro,Fecasati und Piro
296,Brentano und Martinelli ,"Braentani Martinelli, Brentano Martinelli, Braentano Martinelli, Braentano et Martinelle, Brentano et Martinelli, Praentano et Martinelli"
297,Duboin und Stephani,Duboin et Stephani
299,Kramer und Wellner,"Kramer und Wallner, Kramer und Wellner, Krammer und Weller"
355,Ludwig Koller sel. Witwe,Ludwüg Kollers seel. wittib
302,Johann Kaspar Bencard sel. Sohn,Joh. Caspar Bencard seel. sohn
303,Avenzin und Valle,"Avenzin et Valle, Avarzin et Valle"
305,Gundian sel. Erben,"Gundian seel. erben, hr. Gundian seel. erben, hr. Gundians seel. erben"
306,Joseph und Gebrüder Martinelli,Joseph und gebrüeder Martinelli
307,Moser & Co.,hr. Moser et comp.
309,Sebastian Wernberger und Geiger,Sebastian Wernberger und Geiger
310,Lorenz Thoma & Co.,Lorenz Thoma v. Aigen et consortes
311,Johann Philipp Hering & Sohn,Johann Phillipp Hering und sohn
312,Franz Mayrhofer & Co.,Franz Mayrhofer et cons.
314,Johann Winter sel. Erben,Johann Winter seel. erben
315,Reichard Mayrhofer & Co.,"Reichhard Mayrhofer et cons., Reichhardt Mayrhoffer et cons."
316,Johann Marina & Sohn,Johann Marina et sohn
317,Matthias Greipl & Co.,Matthias Greipl et cons.
318,Kraudi und Preister,Kraudi und Preister
319,Michael Gruber & Co.,Michael Grueber et cons.
320,Georg Haller und Jakob Müllner,Georg Haller und Jacob Müllner
321,Granet und Rauner,Granet et Rauner
322,Johann Baptist und Gebrüder,"Joh. Bapt. und gebrüeder, Johann Bap. gebrüeder, Joh. Baptista gebrüeder"
323,Georg Hilleprand sel. Erben,"Georg Hilleprand seel. erben, Georg Hölleprands seel. erben"
324,Paul Karl Rois sel. Erben,"Paul Carl Roys seel. erben, Paul Carl Royss seel. erben"
325,Gaun und Zanchoni,"Gaun et Zanchoni, Gaun und Zanchony, Gaunet et Zanchoni, Gaun und Zanchoni, Gaun unnd Zauchhon, Gaun und Zanconi"
328,Daissenberger & Co.,Daissenberger et comp.
329,Franz Reich sel. Witwe,Franz Raich seel. wittib
330,Matthias Jetschgo & Co.,Mathiaß Jetschgo et cons.
331,Sörgl und Gebrüder,"Sörgl und gebrüeder, Sörgl gebrüeder, Sörgel gebrüeder"
332,Georg Haller & Co.,Georg Haller et cons.
333,Gebrüder Orset,"gebrüeder Orsset, gebrüeder Orsse, gebrüeder Orsetti"
334,Michael Weber & Co.,Michael Weber et consortes
336,Wachter und Kürchl,Wachter und Kürchl
337,Albrechtsberger & Co.,Albrechtsberger et comp.
338,Hochmann & Co.,Hochman et compag.
339,Daniel Bartholomäi & Sohn,Daniel Barthlme und sohn
340,Johann Marina Gebrüder ,"Johann gebrüeder Morina, Johann gebrüeder Marina, Johann et gebrüeder Morina"
341,Lorenz Neuner & Co.,Lorenz Neüner et cons.
342,Apfel und Praunbach,"Apffl und Braunpach, Apffl und Praunpall, Apffl und Pranbach, Apfl und Praunpach, Apffl und Praunbach, Apffel und Praunbacher, Stapfl und Praunpach, Apfl und Braunbach, Apfl und Praunbach"
343,Attinger und Motter,"Attinger et Moter, Attinger und Motter, Attinquier et Moter"
344,Matthias Ernst & Co.,Math. Ernst et cons.
345,Johann Adam Piat sel. Witwe,Johann Adam Piat seel. wittib
346,Martin und Raffeseder,"Martin und Raffeseder, Martin und Rafeseder"
347,Tobias Rezer sel. Erben,Tobiaß Rezer seel. erben
